x,rho,P,u,e
0.581081081081081,2.5,1.5,0,1.5
0.582582582582583,2.5,1.5,0,1.5
0.584084084084084,2.5,1.5,0,1.5
0.585585585585586,2.5,1.5,0,1.5
0.587087087087087,2.5,1.5,0,1.5
0.588588588588589,2.5,1.5,0,1.5
0.59009009009009,2.5,1.5,0,1.5
0.591591591591592,2.5,1.5,0,1.5
0.593093093093093,2.5,1.5,0,1.5
0.594594594594595,2.5,1.5,0,1.5
0.596096096096096,2.5,1.5,0,1.5
0.597597597597598,2.5,1.5,0,1.5
0.599099099099099,2.5,1.5,0,1.5
0.600600600600601,2.5,1.5,0,1.5
0.602102102102102,2.5,1.5,0,1.5
0.603603603603604,2.5,1.5,0,1.5
0.605105105105105,2.5,1.5,0,1.5
0.606606606606607,2.5,1.5,0,1.5
0.608108108108108,2.5,1.5,0,1.5
0.60960960960961,2.5,1.5,0,1.5
0.611111111111111,2.5,1.5,0,1.5
0.612612612612613,2.5,1.5,0,1.5
0.614114114114114,2.5,1.5,0,1.5
0.615615615615616,2.5,1.5,0,1.5
0.617117117117117,2.5,1.5,0,1.5
0.618618618618619,2.5,1.5,0,1.5
0.62012012012012,2.5,1.5,0,1.5
0.621621621621622,2.5,1.5,0,1.5
0.623123123123123,2.5,1.5,0,1.5
0.624624624624625,2.5,1.5,0,1.5
0.626126126126126,2.5,1.5,0,1.5
0.627627627627628,2.5,1.5,0,1.5
0.629129129129129,2.5,1.5,0,1.5
0.630630630630631,2.5,1.5,0,1.5
0.632132132132132,2.5,1.5,0,1.5
0.633633633633634,2.5,1.5,0,1.5
0.635135135135135,2.5,1.5,0,1.5
0.636636636636637,2.5,1.5,0,1.5
0.638138138138138,2.5,1.5,0,1.5
0.63963963963964,2.5,1.5,0,1.5
0.641141141141141,2.5,1.5,0,1.5
0.642642642642643,2.5,1.5,0,1.5
0.644144144144144,2.5,1.5,0,1.5
0.645645645645646,2.5,1.5,0,1.5
0.647147147147147,2.5,1.5,0,1.5
0.648648648648649,2.5,1.5,0,1.5
0.65015015015015,2.5,1.5,0,1.5
0.651651651651652,2.5,1.5,0,1.5
0.653153153153153,2.5,1.5,0,1.5
0.654654654654655,2.5,1.5,0,1.5
0.656156156156156,2.5,1.5,0,1.5
0.657657657657658,2.5,1.5,0,1.5
0.659159159159159,2.5,1.5,0,1.5
0.660660660660661,2.5,1.5,0,1.5
0.662162162162162,2.5,1.5,0,1.5
0.663663663663664,2.5,1.5,0,1.5
0.665165165165165,2.5,1.5,0,1.5
0.666666666666667,2.5,1.5,0,1.5
0.668168168168168,2.5,1.5,0,1.5
0.66966966966967,2.5,1.5,0,1.5
0.671171171171171,2.5,1.5,0,1.5
0.672672672672673,2.5,1.5,0,1.5
0.674174174174174,2.5,1.5,0,1.5
0.675675675675676,2.5,1.5,0,1.5
0.677177177177177,2.5,1.5,0,1.5
0.678678678678679,2.5,1.5,0,1.5
0.68018018018018,2.5,1.5,0,1.5
0.681681681681682,2.5,1.5,0,1.5
0.683183183183183,2.5,1.5,0,1.5
0.684684684684685,2.5,1.5,0,1.5
0.686186186186186,2.5,1.5,0,1.5
0.687687687687688,2.5,1.5,0,1.5
0.689189189189189,2.5,1.5,0,1.5
0.690690690690691,2.5,1.5,0,1.5
0.692192192192192,2.5,1.5,0,1.5
0.693693693693694,2.5,1.5,0,1.5
0.695195195195195,2.5,1.5,0,1.5
0.696696696696697,2.5,1.5,0,1.5
0.698198198198198,2.5,1.5,0,1.5
0.6996996996997,2.5,1.5,0,1.5
0.701201201201201,2.5,1.5,0,1.5
0.702702702702703,2.5,1.5,0,1.5
0.704204204204204,2.5,1.5,0,1.5
0.705705705705706,2.5,1.5,0,1.5
0.707207207207207,2.5,1.5,0,1.5
0.708708708708709,2.5,1.5,0,1.5
0.71021021021021,2.5,1.5,0,1.5
0.711711711711712,2.5,1.5,0,1.5
0.713213213213213,2.5,1.5,0,1.5
0.714714714714715,2.5,1.5,0,1.5
0.716216216216216,2.5,1.5,0,1.5
0.717717717717718,2.5,1.5,0,1.5
0.719219219219219,2.5,1.5,0,1.5
0.720720720720721,2.5,1.5,0,1.5
0.722222222222222,2.5,1.5,0,1.5
0.723723723723724,2.40897808353532,1.42410245575968,0.0338660525960769,1.47791138646405
0.725225225225225,2.30054203382878,1.33517283829173,0.0755744276377859,1.45093288740047
0.726726726726727,2.19604647153037,1.25104630218205,0.117282802679495,1.42420290098669
0.728228228228228,2.09538301162736,1.17150469343601,0.158991177721201,1.39772142722272
0.72972972972973,1.99844527503826,1.09633785794563,0.20069955276291,1.37148846610854
0.731231231231231,1.90512886987634,1.02534341941941,0.242407927804619,1.34550401764417
0.732732732732733,1.81533137271305,0.958326561460245,0.284116302846328,1.31976808182961
0.734234234234234,1.72895230984151,0.895099813752709,0.325824677888037,1.29428065866484
0.735735735735736,1.64589313853995,0.835482842320252,0.367533052929743,1.26904174814988
0.737237237237237,1.56605722833515,0.779302243813399,0.409241427971452,1.24405135028472
0.738738738738739,1.48934984226597,0.726391343789788,0.450949803013161,1.21930946506937
0.74024024024024,1.41567811814676,0.676589998946904,0.492658178054869,1.19481609250381
0.741741741741742,1.3449510498308,0.629744403268422,0.534366553096578,1.17057123258806
0.743243243243243,1.27707946847385,0.585706898045056,0.576074928138284,1.14657488532212
0.744744744744745,1.2119760237975,0.544335785730759,0.617783303179993,1.12282705070597
0.746246246246246,1.1495551653527,0.50549514759524,0.659491678221702,1.09932772873963
0.747747747747748,1.08973312378323,0.469054665133585,0.701200053263411,1.07607691942309
0.749249249249249,1.0324278920891,0.434889445193949,0.74290842830512,1.05307462275636
